cluster,size,seq,series,begin,end,id,book,author,ch_len
128849230309,2,172,Shamela0000176-ara1.completed,166,728,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,562
34359929872,5,331,Shamela0000176-ara1.completed,5,484,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,479
77309544303,2,388,Shamela0000176-ara1.completed,1341,1635,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,294
34359934594,3,489,Shamela0000176-ara1.completed,1173,1524,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,351
429496766007,2,63,Shamela0000176-ara1.completed,1234,1651,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,417
34359741052,3,203,Shamela0000176-ara1.completed,1231,1613,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,382
395137137523,2,428,Shamela0000176-ara1.completed,573,860,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,287
438086837649,2,564,Shamela0000176-ara1.completed,20,862,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,842
309237683339,2,54,Shamela0000176-ara1.completed,1372,1609,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,237
309237683338,2,54,Shamela0000176-ara1.completed,218,1372,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1154
77309587148,3,200,Shamela0000176-ara1.completed,654,993,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,339
56702,2,68,Shamela0000176-ara1.completed,675,961,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,286
128849142841,2,188,Shamela0000176-ara1.completed,1,417,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,416
34359917827,2,371,Shamela0000176-ara1.completed,928,1469,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,541
463856537424,2,422,Shamela0000176-ara1.completed,1311,1629,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,318
283467899510,3,422,Shamela0000176-ara1.completed,151,570,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,419
188978739682,2,192,Shamela0000176-ara1.completed,226,1287,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1061
51539761479,3,193,Shamela0000176-ara1.completed,551,986,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,435
343597444921,2,193,Shamela0000176-ara1.completed,990,1575,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,585
