section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780
202,### ||| وخطط لخم في موضعين:,211064,211131.0,0,0,0,0,0,0,0,0,0,0
203,### ||| خطط اللفيف:,211198,211299.0,0,0,0,0,0,0,0,0,0,0
204,### ||| خطط أهل الظاهر:,211400,211476.5,0,0,0,0,0,0,0,0,0,0
205,### ||| خطط غافق:,211553,211568.0,0,0,0,0,0,0,0,0,0,0
206,### ||| خطط الصدف:,211583,211593.5,0,0,0,0,0,0,0,0,0,0
207,### ||| خطط الفارسيين:,211604,211638.0,0,0,0,0,0,0,0,0,0,0
208,### ||| خطة مذحج:,211672,211681.5,0,0,0,0,0,0,0,0,0,0
209,### ||| خطة غطيف:,211691,211695.0,0,0,0,0,0,0,0,0,0,0
210,### ||| خطة وعلان:,211699,211726.0,0,0,0,0,0,0,0,0,0,0
211,### ||| خطة يحصب:,211753,211767.0,0,0,0,0,0,0,0,0,0,0
212,### ||| خطة رعين:,211781,211786.0,0,0,0,0,0,0,0,0,0,0
213,### ||| خطة ذي الكلاع:,211791,211797.5,0,0,0,0,0,0,0,0,0,0
214,### ||| خطة المغافر:,211804,211824.0,0,0,0,0,0,0,0,0,0,0
215,### ||| خطة سبا وخطة الرحبة:,211844,211850.0,0,0,0,0,0,0,0,0,0,0
216,### ||| خطة السلف,211856,211877.5,0,0,0,0,0,0,0,0,0,0
217,### ||| خطة القبض:,211899,211922.0,0,0,0,0,0,0,0,0,0,0
218,### ||| خطط الحمراوات الثلاث:,211945,212153.5,0,0,0,0,0,0,0,0,0,0
219,### || ذكر أمراء الفسطاط من حين فتحت مصر إلى أن بني العسكر,212362,213031.5,0,0,3,0,0,0,0,0,0,0
220,### ||| [الدولة الأموية],213701,214991.5,0,0,0,0,0,0,0,0,0,0
221,### ||| [الدولة العباسية],216282,216357.0,0,0,0,0,0,0,0,0,0,0
222,### || ذكر العسكر الذي بني بظاهر مدينة فسطاط مصر,216432,216950.0,0,0,0,0,0,1,0,0,0,0
223,### || ذكر من نزل العسكر من أمراء مصر من حين بني إلى أن بنيت القطائع,217468,220225.5,0,0,0,0,0,0,0,0,0,0
224,### || ذكر القطائع ودولة بني طولون,222983,223411.0,0,0,0,0,0,0,0,0,0,0
225,### ||| [الدولة الطولونية],223839,227820.5,0,0,0,0,0,0,0,0,0,0
226,### || ذكر من ولي مصر من الأمراء بعد خراب القطائع إلى أن بنيت قاهرة المعز على يد القائد جوهر,231802,232612.5,0,0,1,0,0,0,0,0,0,0
227,### ||| [الدولة الإخشدية],233423,233848.0,0,2,0,0,0,1,0,0,0,0
228,### || ذكر ما كانت عليه مدينة الفسطاط من كثرة العمارة,234273,235737.5,0,0,1,0,0,0,0,0,0,0
229,### || ذكر الآثار الواردة في خراب مصر,237202,237510.0,0,0,0,0,0,0,0,0,0,0
230,### || ذكر خراب الفسطاط,237818,237834.0,0,0,0,0,0,0,0,0,0,0
231,### ||| فأما الشدة العظمى:,237850,238849.5,0,0,0,0,0,0,0,0,0,0
232,### ||| وأما حريق مصر:,239849,240463.5,0,0,0,0,1,0,0,0,0,0
233,### || ذكر ما قيل في مدينة فسطاط مصر,241078,242083.5,0,0,0,0,0,0,0,0,0,0
234,### || ذكر ما عليه مدينة مصر الآن وصفتها,243089,243432.0,0,0,0,0,0,0,0,1,0,0
235,### || ذكر ساحل النيل بمدينة مصر,243775,244485.0,1,0,0,0,0,0,0,0,0,0
236,### || ذكر المنشأة,245195,245834.0,0,0,0,0,1,0,0,0,0,0
237,### || ذكر أبواب مدينة مصر,246473,246483.5,0,0,0,0,0,0,0,0,0,0
238,### ||| باب الصفاء:,246494,246511.5,0,0,0,0,0,0,0,0,0,0
239,### ||| باب الساحل:,246529,246537.5,0,0,0,0,0,0,0,0,0,0
240,### ||| باب مصر:,246546,246632.0,0,0,0,0,0,0,0,0,0,0
241,### ||| باب القنطرة:,246718,246731.0,0,0,0,0,0,0,0,0,0,0
242,### | ذكر القاهرة قاهرة المعز لدين الله,246744,246865.0,0,0,0,0,0,0,0,0,0,0
243,### || ذكر ما قيل في نسب الخلفاء الفاطميين بناة القاهرة,246986,247504.0,0,0,0,0,0,0,0,0,0,0
244,### || ذكر الخلفاء الفاطميين,248022,251531.5,0,2,2,0,0,0,0,0,1,0
245,### || ذكر ما كان عليه موضع القاهرة قبل وضعها,255041,255381.5,0,0,0,0,0,0,0,0,0,0
246,### || ذكر حد القاهرة,255722,256111.5,1,0,0,0,0,1,0,0,0,0
247,### || ذكر بناء القاهرة وما كانت عليه في الدولة الفاطمية,256501,257553.0,0,0,0,0,0,1,0,0,0,0
248,### || ذكر ما صارت إليه القاهرة بعد استيلاء الدولة الأيوبية عليها,258605,258966.0,1,0,0,0,0,0,0,0,1,0
249,### || ذكر طرف مما قيل في القاهرة ومنتزهاتها,259327,261213.0,0,0,0,0,0,0,0,0,0,0
250,### || ذكر ما قيل في مدة بقاء القاهرة ووقت خرابها,263099,263438.0,0,0,0,1,0,1,0,0,0,1
251,### || ذكر مسالك القاهرة وشوارعها على ما هي عليه الآن,263777,263798.0,0,0,0,0,0,0,0,0,0,0
252,### ||| [الشارع الأول والطريق العظمى قصة القاهرة],263819,264444.0,0,0,0,0,0,0,0,0,0,0
253,### ||| [الشارع المسلوك فيها إلى باب الفتوح],265069,265375.0,0,0,0,0,0,0,0,0,0,0
254,### ||| [الشارع المسلوك فيه إلى باب النصرِ],265681,266022.0,0,0,0,0,0,0,0,0,0,0
255,### || ذكر سور القاهرة,266363,266389.5,0,0,0,0,0,0,0,0,0,0
256,### ||| السور الأول:,266416,266611.5,0,0,0,0,0,1,0,0,0,0
257,### |||| وجوهر هذا:,266807,267468.0,0,0,0,0,0,1,0,0,0,0
258,### ||| السور الثاني:,268129,268178.5,0,0,0,0,0,0,0,0,0,0
259,### ||| السور الثالث:,268228,268445.5,0,0,0,0,0,0,0,0,0,0
260,### || ذكر أبواب القاهرة,268663,268703.5,0,0,0,0,0,0,0,0,0,0
261,### ||| باب زويلة «1»,268744,269031.5,0,0,0,0,0,0,0,0,0,0
262,### ||| باب النصر,269319,269383.0,0,0,0,0,0,0,0,0,0,0
263,### ||| باب الفتوح,269447,269479.0,0,0,0,0,0,0,0,0,0,0
264,### |||| أمير الجيوش:,269511,269906.0,0,0,0,0,0,0,0,0,0,0
265,### ||| باب القنطرة,270301,270319.0,0,0,0,0,0,0,0,0,0,0
266,### ||| باب الشعرية,270337,270349.0,0,0,0,0,0,0,0,0,0,0
267,### ||| باب سعادة,270361,270435.5,0,0,0,0,0,0,0,0,0,0
268,### ||| الباب المحروق,270510,270693.5,0,0,0,0,0,0,0,0,0,0
269,### ||| باب البرقية,270877,270881.5,0,0,0,0,0,0,0,0,0,0
270,### || ذكر قصور الخلفاء ومناظرهم والإلماع بطرف من مآثرهم وما صارت إليه أحوالها من بعدهم,270886,270981.5,0,0,0,0,0,0,0,0,0,0
271,### ||| القصر الكبير,271077,271445.0,0,0,0,0,0,1,0,0,0,0
272,### |||| قاعة الذهب:,271813,271863.0,0,0,0,0,0,0,0,0,0,0
273,### |||| هيئة جلوس الخليفة بمجلس الملك:,271913,272490.0,0,0,0,0,0,0,0,0,0,0
274,### |||| كيفية سماط شهر رمضان بهذه القاعة,273067,273168.5,0,0,0,0,0,0,0,0,0,0
275,### |||| عمل سماط عيد الفطر بهذه القاعة,273270,273645.0,0,0,0,0,0,0,0,0,0,0
