section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780,start,end
464,### || حارة العطوفية:,355813,355887.0,0,0,0,0,0,0,0,0,0,0,350000,400000
465,### || حارة الجوانية «3» :,355961,356142.5,0,0,0,0,0,0,0,0,0,0,350000,400000
466,### || حارة البستان:,356324,356335.0,0,0,0,0,0,0,0,0,0,0,350000,400000
467,### || حارة المرتاحية:,356346,356359.5,0,0,0,0,0,0,0,0,0,0,350000,400000
468,### || حارة الفرحية:,356373,356400.5,0,0,0,0,0,0,0,0,0,0,350000,400000
462,### || حارة البرقية:,354919,354949.5,0,0,0,0,0,0,0,0,0,0,350000,400000
523,### || خط قصر ابن عمار:,371766,372115.0,0,0,0,0,0,0,0,0,0,0,350000,400000
487,### || حارة البيازرة:,360725,360807.0,0,0,0,0,0,0,0,0,0,0,350000,400000
489,### ||| ذكر قدوم الأويراتية,361868,362311.5,1,0,0,0,0,0,0,0,0,0,350000,400000
521,### || خط خان السبيل:,371605,371650.0,0,0,0,0,0,0,0,0,0,0,350000,400000
520,### || خط السفينة:,371570,371587.5,0,0,0,0,0,0,0,0,0,0,350000,400000
519,### || خط خزانة البنود:,371517,371543.5,0,0,0,0,0,0,0,0,0,0,350000,400000
518,### || خط الفهادين:,371505,371511.0,0,0,0,0,0,0,0,0,0,0,350000,400000
517,### || خط دكة الحسبة:,371480,371492.5,0,0,0,0,0,0,0,0,0,0,350000,400000
516,### || خط سويقة أمير الجيوش:,371452,371466.0,0,0,0,0,0,0,0,0,0,0,350000,400000
515,### || خط المناخ:,371422,371437.0,0,0,0,0,0,0,0,0,0,0,350000,400000
514,### || خط الأكفانيين:,371406,371414.0,0,0,0,0,0,0,0,0,0,0,350000,400000
513,### || خط اصطبل الطارمة «2» :,371339,371372.5,0,0,0,0,0,0,0,0,0,0,350000,400000
511,### || خط الزراكشة العتيق:,371233,371261.5,0,0,0,0,0,0,0,0,0,0,350000,400000
510,### || خط باب الزهومة:,371190,371211.5,0,0,0,0,0,0,0,0,0,0,350000,400000
509,### || خط قصر بشتاك:,370459,370824.5,0,0,0,0,0,0,0,0,0,0,350000,400000
508,### || خط قصر أمير سلاح:,369346,369902.5,0,1,1,0,0,0,0,0,0,0,350000,400000
507,### || خط المسطاح:,369305,369325.5,0,0,0,0,0,0,0,0,0,0,350000,400000
506,### || خط الملحيين:,369139,369222.0,0,0,0,0,0,0,0,0,0,0,350000,400000
505,### || خط دار الديباج:,369053,369096.0,0,0,0,0,0,0,0,0,0,0,350000,400000
504,### || خط البندقانيين:,368213,368633.0,0,0,0,0,0,0,0,0,0,0,350000,400000
592,### || درب الحرامي: بالحكر،,377762,377774.0,0,0,0,0,0,0,0,0,0,0,350000,400000
