,cluster,begin,end,date,book,label,colour
177,34359947939,916390,917207,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
178,34359947940,915770,916248,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
179,34359947938,915770,917030,733,0733Nuwayri.NihayatArab,mamluk,blue
180,34359911799,2112131,2112615,845,0845Maqrizi.ItticazHunafa,mamluk,blue
181,111669251194,3281582,3281967,845,0845Maqrizi.ItticazHunafa,mamluk,blue
182,635655248188,976267,976523,355,0355MuhammadKindi.FadailMisr,pre-fatimid,orange
183,103079275056,975842,975990,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
184,635655248186,975366,975700,634,0634AbuRabicHimyari.Iktifa,ayyubid,red
185,317827741856,975366,975951,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
186,558345891842,976019,976267,355,0355MuhammadKindi.FadailMisr,pre-fatimid,orange
187,317827741861,975718,975951,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
188,51539788783,2740549,2741307,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
189,137439142921,2040808,2040976,821,0821Qalqashandi.SubhAcsha,mamluk,blue
190,34359826412,2040220,2040462,845,0845Maqrizi.ItticazHunafa,mamluk,blue
191,163208861896,2040482,2040808,821,0821Qalqashandi.SubhAcsha,mamluk,blue
192,128849093054,357624,358006,367,0367IbnHawqal.SuratArd,fatimid,green
193,174006,1761718,1761968,845,0845Maqrizi.Muqaffa,mamluk,blue
194,60129595691,1926182,1926447,845,0845Maqrizi.ItticazHunafa,mamluk,blue
195,188978562302,1926455,1926973,420,0420Musabbihi.AkhbarMisr,fatimid,green
196,111669333314,367964,368638,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
197,403727022673,367849,368626,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
198,103079290893,367109,367502,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
199,8590002382,944143,944756,487,0487AbuCubaydBakri.MasalikWaMamalik,fatimid,green
200,25769836275,943274,943693,600,0600KatibMarrakushi.Istibsar,ayyubid,red
201,25769836274,943450,943909,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
202,463856664186,3600562,3600805,845,0845Maqrizi.Muqaffa,mamluk,blue
203,498216270191,3601215,3601417,815,0815IbnCabdAllahGhazuli.MatalicBudur,mamluk,blue
204,51539784572,3456818,3457087,845,0845Maqrizi.Suluk,mamluk,blue
205,201152,3169371,3169479,764,0764Safadi.WafiBiWafayat,mamluk,blue
206,188978628397,3168923,3169411,764,0764Safadi.AcyanCasr,mamluk,blue
207,137439098937,32859,33308,375,0375IkhwanSafa.Rasail,fatimid,green
208,17180048022,1211580,1212325,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
209,17180048021,1212028,1212358,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
210,240518355983,1212320,1212973,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
211,111669265913,3358677,3359129,456,0456IbnHazm.FisalFiMilal,fatimid,green
212,163208839799,3359129,3360019,456,0456IbnHazm.FisalFiMilal,fatimid,green
213,111669265912,3358867,3359367,456,0456IbnHazm.FisalFiMilal,fatimid,green
214,206158507300,3781701,3782773,400,0400IbnTahirMaqdisi.BadWaTarikh,fatimid,green
215,51539697191,3782808,3783218,400,0400IbnTahirMaqdisi.BadWaTarikh,fatimid,green
216,214748514992,1932501,1932739,845,0845Maqrizi.Suluk,mamluk,blue
217,51539666926,556741,557518,733,0733Nuwayri.NihayatArab,mamluk,blue
218,51539720022,557521,557961,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
219,77309541649,557335,558062,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
220,103079373316,556506,556856,487,0487AbuCubaydBakri.MasalikWaMamalik,fatimid,green
221,111669226429,871079,872119,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
222,111669226434,871559,872108,733,0733Nuwayri.NihayatArab,mamluk,blue
223,240518305453,871566,872392,845,0845Maqrizi.Muqaffa,mamluk,blue
224,103079357317,871827,872126,809,0809IbnDuqmaq.NuzhatAnam,mamluk,blue
225,549755843987,1537514,1538166,733,0733Nuwayri.NihayatArab,mamluk,blue
226,283467875297,1182944,1183590,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
227,283467875299,1183183,1183671,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
228,283467875300,1183671,1184034,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
229,249108299013,1182938,1183157,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
230,266288173060,2478413,2478737,362,0362AbuFarajIsbahani.Aghani,fatimid,green
231,266288173061,2477805,2478079,230,0230IbnSacd.TabaqatKubra,pre-fatimid,orange
232,266288173062,2477514,2477805,230,0230IbnSacd.TabaqatKubra,pre-fatimid,orange
233,266288173063,2478088,2478309,347,0347IbnYunusSadafi.Tarikh,pre-fatimid,orange
234,377957297382,2643322,2643682,350,0350Balawi.SiratAhmadIbnTulun,pre-fatimid,orange
235,283467924141,3637029,3637195,630,0630IbnAthirCizzDin.Kamil,ayyubid,red
236,68719496915,3636087,3636754,310,0310Tabari.Tarikh,pre-fatimid,orange
237,111669190334,3637029,3637538,310,0310Tabari.Tarikh,pre-fatimid,orange
238,68719496919,3636532,3636731,630,0630IbnAthirCizzDin.Kamil,ayyubid,red
239,137439036794,3636683,3637035,279,0279Baladhuri.AnsabAshraf,pre-fatimid,orange
240,223338331792,3636087,3637035,310,0310Tabari.Tarikh,pre-fatimid,orange
241,77309556041,1929036,1929183,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
242,171798744017,1928918,1929394,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
243,149285,1928005,1929394,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
244,149293,1928147,1928746,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
245,77309556034,1928584,1929394,665,0665AbuShama.Rawdatayn,mamluk,blue
246,438086667017,1929166,1929383,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
